Taken_product,Yearly_avg_view_on_travel_page,preferred_device,total_likes_on_outstation_checkin_given,yearly_avg_Outstation_checkins,member_in_family,preferred_location_type,Yearly_avg_comment_on_travel_page,total_likes_on_outofstation_checkin_received,week_since_last_outstation_checkin,following_company_page,montly_avg_comment_on_company_page,working_flag,travelling_network_rating,Adult_flag,Daily_Avg_mins_spend_on_traveling_page
No,247,iOS,45605,1,2,Financial,36,5968,1,No,20,Yes,3,3,9
No,322,iOS and Android,20090,11,3,Financial,3,7510,1,No,17,No,2,1,10
No,285,iOS,50540,1,4,Other,88,2991,0,Yes,11,No,2,1,7
No,412,iOS and Android,6615,26,4,Tour  Travel,71,19636,4,Yes,18,No,1,1,35
No,232,iOS and Android,44660,1,1,Medical,59,1129,1,Yes,11,No,3,3,1
No,292,iOS and Android,4165,15,4,Social media,77,13341,0,No,12,No,1,0,21
No,,Android,11725,23,2,Financial,37,4332,1,No,12,No,4,0,20
No,232,Android,24395,10,3,Medical,40,11031,4,No,20,Yes,3,1,13
No,405,iOS and Android,5495,10,3,Medical,77,4440,6,Yes,19,No,4,0,9
No,180,iOS and Android,26985,1,2,Financial,45,4617,1,No,12,No,2,0,4
No,,iOS and Android,19985,12,2,Other,78,2647,1,No,13,No,3,0,5
No,300,iOS,24220,11,3,Entertainment,73,6323,1,No,11,No,1,1,10
No,300,iOS and Android,,1,2,Social media,92,5677,3,No,14,No,3,1,15
No,187,iOS and Android,,1,3,Tour  Travel,,2187,4,No,14,No,3,0,6
No,225,iOS and Android,31885,1,2,Medical,76,3748,1,No,13,No,3,0,12
No,187,iOS and Android,34195,1,1,Other,57,3977,6,Yes,19,No,3,1,7
No,352,iOS and Android,41300,25,3,Medical,84,8633,2,No,23,Yes,2,0,25
No,247,Android,45955,1,2,Medical,59,2008,1,No,12,No,3,3,1
No,285,iOS and Android,,1,4,Financial,86,4440,0,No,15,No,1,2,16
No,232,iOS and Android,40390,1,2,Financial,54,3067,0,No,19,No,3,1,3
No,285,iOS,17780,1,4,Financial,72,5321,2,No,11,No,4,1,10
No,,iOS and Android,19495,18,4,Financial,35,5410,6,Yes,17,No,3,1,9
No,307,iOS and Android,22470,1,3,Financial,76,2782,3,No,22,Yes,1,1,12
No,352,Android,40670,1,10,Medical,98,11957,0,No,18,No,1,2,14
No,262,iOS and Android,52150,11,4,Medical,43,2660,7,Yes,11,No,3,1,5
No,165,iOS and Android,20335,1,2,Financial,63,3375,0,No,12,No,4,0,4
No,262,iOS and Android,,1,4,Medical,48,5098,1,No,19,No,2,0,10
No,247,iOS and Android,17535,15,2,Medical,95,4878,0,Yes,13,No,1,1,10
No,240,iOS and Android,9345,29,4,Financial,49,2837,1,No,13,No,3,0,6
No,300,iOS and Android,19005,1,4,Financial,83,2406,8,No,19,No,3,2,8
No,240,iOS and Android,8190,1,4,Medical,68,2269,0,No,14,No,2,1,3
No,292,iOS and Android,4060,24,1,Financial,52,4108,7,No,13,No,1,0,18
No,285,iOS and Android,7035,10,3,Medical,99,13206,3,No,12,No,1,1,20
No,240,iOS and Android,28035,1,4,Social media,48,10422,1,No,19,No,3,2,14
No,277,iOS and Android,,10,3,Financial,42,13744,1,Yes,25,Yes,1,1,16
No,187,iOS and Android,48370,1,2,Other,85,4907,0,Yes,22,Yes,2,1,6
No,,Android,20475,29,4,Financial,40,3482,2,No,15,No,2,2,16
No,330,iOS and Android,36295,1,3,Medical,,2436,6,Yes,12,No,3,0,6
No,157,iOS and Android,17535,1,1,Medical,58,2380,1,Yes,11,No,4,0,2
No,292,Android,3675,1,3,Financial,87,19431,2,No,13,No,3,0,21
Yes,,iOS,22330,1,3,Social media,33,1790,1,No,19,No,1,1,1
No,270,iOS and Android,19495,1,3,Medical,94,7644,0,No,19,No,3,2,10
No,270,iOS,24080,1,2,Financial,97,5131,7,No,13,No,2,3,18
No,,Android,23345,1,4,Financial,57,6306,1,No,21,Yes,1,1,13
Yes,217,iOS and Android,38220,1,4,Medical,36,4787,9,Yes,14,No,2,3,4
No,,iOS and Android,10500,1,3,Financial,56,18880,5,No,11,No,1,0,24
Yes,,iOS and Android,10850,1,2,Entertainment,72,2339,8,No,11,No,4,1,14
No,307,iOS and Android,20370,28,4,Financial,60,13570,0,No,23,Yes,3,1,21
No,255,iOS and Android,24640,28,3,Social media,95,6712,1,No,21,Yes,4,2,8
No,270,Android,10535,15,4,Social media,88,5406,1,No,24,Yes,1,1,15
No,307,iOS and Android,32550,1,3,Financial,57,8938,2,No,11,No,3,1,14
No,240,iOS and Android,18515,1,3,Entertainment,78,2439,1,No,14,No,4,0,4
No,262,iOS and Android,40110,26,4,Financial,31,8837,1,Yes,16,No,3,0,9
No,285,iOS and Android,12075,10,2,Financial,100,5343,1,No,11,No,3,1,10
Yes,375,iOS,30730,1,4,Financial,94,6728,7,No,12,No,4,2,12
No,270,iOS and Android,39200,11,4,Social media,100,6652,4,No,13,No,1,1,8
No,,iOS and Android,13090,20,3,Financial,50,4850,8,No,15,No,3,0,8
No,300,iOS and Android,46270,1,4,Financial,52,2809,2,No,14,No,4,0,8
No,262,iOS,41965,18,4,Financial,80,5689,1,Yes,14,No,4,2,10
No,300,iOS and Android,41790,1,4,Medical,98,2001,2,No,14,No,2,3,20
No,262,iOS and Android,10045,1,4,Financial,62,2977,1,No,12,No,4,1,4
No,217,iOS and Android,,13,2,Other,,4025,4,Yes,13,No,1,1,10
No,217,iOS and Android,16380,28,4,Medical,73,3785,1,No,14,No,2,0,5
Yes,375,iOS and Android,14350,28,3,Social media,39,10854,4,Yes,13,No,2,1,20
No,292,iOS and Android,25270,24,1,Social media,60,12031,0,No,11,No,1,1,21
No,232,Android,11375,1,3,Medical,74,9936,0,No,19,No,2,0,10
No,195,iOS and Android,40845,1,3,Other,3,2966,0,No,18,No,4,0,5
No,270,iOS,30940,23,2,Medical,41,2571,4,No,17,No,3,1,17
No,292,iOS and Android,21455,1,1,Medical,42,9991,4,No,15,No,1,1,9
No,202,iOS and Android,5425,,3,Financial,87,6142,1,Yes,20,Yes,2,1,6
No,367,iOS,35805,1,3,Medical,63,5390,2,No,14,No,4,0,17
No,255,iOS and Android,21980,1,3,Medical,82,4404,2,No,12,No,1,0,6
Yes,308,iOS and Android,38616,1,2,Financial,106,6051,10,Yes,22,No,1,0,8
No,368,iOS,9801,1,1,Financial,66,5184,1,No,30,Yes,4,1,18
Yes,,iOS and Android,48099,1,2,Other,105,2138,6,Yes,20,No,2,0,11
No,249,iOS,48758,1,4,Financial,65,2954,1,Yes,18,No,3,0,14
No,205,iOS and Android,20729,1,1,Medical,47,3521,9,No,20,No,4,1,11
No,,iOS,35205,1,2,Financial,93,3111,1,No,17,No,3,0,14
No,445,iOS and Android,46377,1,3,Medical,90,2721,4,Yes,29,Yes,1,3,19
No,226,iOS and Android,47563,24,1,Financial,74,2739,3,No,28,Yes,2,1,2
No,287,iOS,7590,23,3,Financial,58,9576,0,No,27,Yes,2,0,16
No,271,iOS and Android,45512,27,3,Medical,99,5277,6,No,16,No,2,2,24
No,263,iOS and Android,28348,16,3,Medical,93,2470,0,No,20,No,3,1,12
No,219,iOS and Android,5390,15,2,Financial,63,4251,1,Yes,18,No,4,0,14
No,234,iOS and Android,23488,26,1,Financial,45,2967,1,No,25,No,4,1,9
No,256,iOS and Android,47147,19,2,Medical,,2707,1,No,17,No,3,1,10
Yes,212,iOS and Android,3643,24,3,Financial,55,2078,5,Yes,25,No,2,0,7
No,219,iOS and Android,48646,21,4,Financial,64,10035,3,No,21,No,3,1,18
No,241,iOS and Android,11725,1,2,Financial,93,3349,0,Yes,16,No,4,2,11
No,,Android,39354,16,2,Medical,106,2984,1,Yes,19,No,2,2,10
No,399,iOS and Android,42704,1,4,Financial,89,15471,2,No,23,No,3,0,34
No,286,iOS and Android,13021,1,3,Financial,51,3984,7,Yes,14,No,3,0,11
No,182,Android,23587,11,2,Other,103,4062,0,No,23,No,4,1,8
Yes,271,iOS and Android,,1,4,Financial,97,3464,9,No,376,Yes,2,0,14
No,256,iOS and Android,14711,1,4,Financial,60,12050,0,No,21,No,3,0,18
No,159,iOS and Android,13717,15,2,Financial,108,1289,1,No,23,No,4,0,0
Yes,256,iOS and Android,24511,1,1,Medical,90,3003,2,No,19,No,3,0,14
No,399,iOS and Android,44902,1,3,Other,66,19145,4,No,15,No,4,1,30
Yes,241,iOS,39410,16,1,Financial,79,3976,3,Yes,381,Yes,2,0,15
No,316,iOS and Android,24219,1,4,Social media,57,6885,1,No,21,No,4,1,11
No,332,iOS and Android,16728,1,4,Medical,47,10288,4,No,20,No,4,1,28
No,347,iOS and Android,24713,1,4,Social media,96,18999,3,No,18,No,4,0,26
No,248,iOS and Android,32384,1,3,Medical,88,2546,4,No,20,No,4,0,15
No,331,iOS and Android,51100,10,4,Other,54,6505,4,Yes,20,No,4,0,15
No,226,iOS and Android,4415,1,2,Medical,98,2246,3,No,23,No,1,0,13
Yes,294,iOS and Android,31374,1,3,Entertainment,68,2139,4,No,23,No,3,1,26
Yes,,iOS and Android,28489,1,3,Medical,66,2350,4,Yes,20,No,1,1,14
No,323,iOS and Android,44585,1,2,Medical,84,2697,1,No,21,No,4,2,13
Yes,376,iOS and Android,30459,1,2,Social media,91,2742,3,Yes,22,No,3,0,5
No,,iOS and Android,31195,1,3,Social media,,2056,1,No,20,No,1,0,5
No,271,iOS and Android,29850,1,4,Financial,92,3475,11,Yes,19,No,4,1,11
No,249,iOS,39979,1,3,Financial,54,5421,3,No,30,No,1,2,16
No,265,iOS and Android,16283,1,2,Other,84,1996,1,No,17,No,3,1,4
No,205,iOS and Android,43446,1,4,Financial,44,2398,3,No,19,No,4,1,5
Yes,,iOS and Android,,25,3,Financial,55,2341,3,No,23,No,3,0,7
No,204,iOS,34832,1,3,Financial,44,8784,3,No,27,No,4,0,17
No,226,iOS,25268,1,2,Medical,64,4057,1,No,28,Yes,4,0,15
Yes,309,iOS and Android,47635,12,3,Entertainment,57,19589,2,No,21,No,4,0,27
No,257,Android,37315,23,4,Social media,83,4618,1,No,23,Yes,3,0,14
No,,iOS and Android,14325,19,2,Financial,86,3074,4,No,28,Yes,1,0,12
No,346,iOS,42427,1,4,Social media,111,5812,6,Yes,26,Yes,3,0,19
No,264,iOS and Android,43046,1,1,Financial,51,2312,1,No,25,No,4,0,3
Yes,361,iOS and Android,21945,1,2,Financial,106,5435,11,Yes,17,No,4,0,32
Yes,212,iOS and Android,50221,1,4,Entertainment,55,3487,3,Yes,23,No,3,0,8
No,332,iOS and Android,52116,1,5,Social media,81,5511,5,Yes,427,Yes,3,1,9
No,264,Android,38438,11,2,Medical,91,9927,2,Yes,17,No,3,1,14
No,196,iOS and Android,50537,23,3,Social media,56,4205,9,Yes,26,No,3,1,8
No,249,iOS,18066,1,2,Financial,104,13498,1,Yes,23,No,3,0,20
No,264,iOS,29895,18,5,Financial,85,9127,1,No,437,Yes,4,1,13
No,,iOS and Android,,23,4,Medical,42,4071,4,Yes,23,No,3,1,8
No,234,iOS and Android,22972,1,4,Financial,56,5975,3,No,499,Yes,4,1,13
No,278,iOS and Android,39070,1,4,Financial,60,6037,2,No,23,No,3,1,9
No,,iOS and Android,,1,3,Medical,46,6219,1,Yes,363,Yes,2,1,16
No,286,iOS,22891,29,5,Financial,,2446,3,No,17,No,4,0,14
No,376,iOS and Android,34660,1,2,Medical,58,18794,6,Yes,24,No,4,1,35
No,444,iOS and Android,50272,25,3,Financial,108,7694,9,No,22,No,4,0,31
No,272,iOS and Android,42845,1,3,Entertainment,74,10141,2,No,19,No,2,3,22
No,414,iOS and Android,29298,1,3,Medical,45,14808,2,Yes,20,No,3,3,26
No,,iOS,41872,11,3,Financial,102,6539,2,No,20,No,3,0,7
No,339,iOS and Android,46913,1,3,Financial,69,9771,2,No,24,No,3,1,29
No,264,iOS,23272,1,3,Medical,91,2245,6,No,20,No,4,1,10
Yes,272,iOS and Android,11173,1,3,Medical,90,3441,1,Yes,24,No,1,1,3
No,443,iOS,42923,1,1,Financial,65,5528,7,No,14,No,4,0,22
No,,iOS and Android,46526,1,3,Financial,90,2755,1,No,28,Yes,4,1,8
No,233,iOS and Android,37909,1,4,Medical,96,2547,1,No,27,No,2,0,9
No,241,iOS and Android,19230,1,3,Financial,78,6273,1,No,27,No,2,2,14
No,271,iOS and Android,4664,1,3,Financial,66,3096,3,No,20,No,2,0,14
No,,iOS and Android,26160,1,4,Financial,76,4469,3,No,30,Yes,4,0,13
No,264,iOS and Android,27203,1,4,Social media,43,4358,0,No,24,No,2,0,20
No,339,iOS and Android,6802,1,4,Game,58,13288,5,Yes,23,No,2,0,24
No,280,iOS and Android,13942,1,4,Medical,36,13712,5,No,19,No,1,0,19
No,346,iOS and Android,33109,1,2,Medical,86,5072,8,Yes,27,Yes,4,1,21
No,226,iOS and Android,29855,1,1,Financial,60,5176,3,Yes,20,No,3,2,17
No,264,iOS and Android,42527,1,3,Medical,36,2904,1,No,27,No,1,0,12
No,414,iOS and Android,3925,1,2,Financial,77,10298,4,No,23,No,4,1,28
No,287,Android,20095,1,3,Medical,85,5373,7,Yes,17,No,4,3,23
No,257,iOS and Android,40395,1,2,Medical,103,4372,2,No,26,No,3,0,6
No,422,iOS and Android,,1,3,Financial,,7309,5,No,14,No,1,0,41
No,174,iOS and Android,18966,1,1,Entertainment,70,2378,3,No,18,No,3,1,8
No,384,iOS and Android,15152,1,4,Financial,106,2133,3,No,425,Yes,2,2,17
No,226,iOS and Android,10120,1,3,Financial,108,4200,2,No,23,No,1,3,15
Yes,346,iOS and Android,23445,1,2,Medical,74,9672,1,No,27,No,4,0,17
No,302,iOS,18584,1,4,Financial,93,13548,2,No,29,Yes,4,1,32
No,384,iOS and Android,22150,21,4,Social media,80,5481,1,Yes,439,Yes,4,0,19
No,226,iOS and Android,,1,2,Medical,74,5250,2,Yes,24,No,2,3,15
No,347,iOS,22374,1,3,Medical,47,10725,4,Yes,22,No,3,1,21
No,242,iOS and Android,38294,1,4,Medical,98,5056,3,No,27,No,1,0,17
No,,iOS and Android,42643,1,4,Entertainment,71,13606,10,No,22,No,1,1,25
No,181,iOS and Android,47392,1,2,Other,39,5053,2,No,301,Yes,1,1,9
No,211,Android,4241,1,3,Medical,54,4273,3,No,19,No,2,0,13
No,436,iOS and Android,23915,10,4,Medical,43,13929,1,No,21,No,3,0,38
No,332,Android,17161,23,3,Medical,75,2102,6,No,17,No,3,1,21
Yes,279,iOS and Android,28294,1,4,Tour  Travel,76,2113,6,Yes,30,Yes,4,0,11
No,242,iOS and Android,28976,1,1,Financial,86,3004,2,No,20,No,4,0,1
Yes,151,iOS,30531,1,3,Financial,79,2982,3,Yes,26,No,2,0,5
No,257,iOS and Android,23325,1,4,Other,56,4853,3,No,20,No,3,0,18
No,278,Android,36431,1,2,Financial,109,5213,7,No,26,No,4,1,21
No,444,Android,49746,1,4,Tour  Travel,47,18897,9,No,25,Yes,4,1,33
No,377,iOS,39059,1,3,Financial,78,18220,3,Yes,28,No,1,0,31
Yes,188,iOS and Android,8431,1,3,Social media,56,5787,3,Yes,15,No,4,0,8
No,189,iOS and Android,44839,1,1,Medical,75,2942,2,No,17,No,3,2,5
No,166,iOS and Android,18729,15,3,Medical,71,2917,1,No,26,No,3,0,5
No,384,iOS,50990,1,4,Medical,38,7529,5,No,461,Yes,3,0,29
Yes,256,iOS,23064,1,3,Financial,80,6115,1,Yes,322,Yes,4,0,11
No,406,Android,5011,26,3,Tour  Travel,40,17368,3,Yes,17,No,3,0,28
No,182,iOS and Android,39492,18,1,Financial,61,2830,1,No,15,No,3,1,11
No,256,iOS and Android,36117,1,4,Financial,50,4548,7,No,27,No,3,1,20
No,279,iOS and Android,41651,1,3,Financial,92,7485,2,No,22,No,1,0,17
No,256,iOS and Android,47428,,3,Medical,56,11687,4,No,20,No,4,0,23
No,272,iOS,51395,,2,Entertainment,100,9784,2,No,24,No,3,1,13
No,271,iOS and Android,32301,1,2,Financial,51,2895,5,No,324,Yes,1,1,9
No,324,iOS,13834,26,2,Financial,100,17004,2,Yes,16,No,4,2,30
No,226,iOS,45954,23,3,Financial,110,2670,1,No,355,Yes,3,3,11
No,248,Android,26291,22,2,Social media,108,6197,2,No,20,No,1,1,10
Yes,422,iOS and Android,15465,14,4,Financial,86,5023,10,Yes,24,No,1,3,9
No,384,iOS and Android,23985,1,3,Financial,60,19596,9,No,16,No,3,0,29
Yes,234,iOS and Android,8745,1,4,Financial,88,6212,6,Yes,23,No,2,0,17
No,197,iOS and Android,29474,1,3,Other,54,2425,1,No,427,No,3,0,7
Yes,436,iOS and Android,5182,23,4,Medical,102,10369,1,No,19,No,4,1,135
Yes,143,iOS and Android,18525,22,1,Social media,64,1718,3,Yes,22,No,4,0,1
No,167,iOS and Android,20840,1,1,Entertainment,112,2567,0,No,26,No,3,1,12
No,368,iOS and Android,16500,20,4,Medical,104,6611,2,No,23,No,3,0,17
No,324,iOS,33531,28,3,Medical,79,4784,6,No,21,No,4,0,24
No,376,iOS,28365,12,3,,84,9254,6,No,19,No,4,0,18
Yes,233,iOS and Android,19020,20,3,Financial,84,4599,5,Yes,18,No,3,1,8
No,308,iOS and Android,28112,1,1,Financial,,8234,5,Yes,19,No,3,1,18
No,196,iOS and Android,47469,25,1,Financial,67,2996,2,,338,Yes,4,1,14
No,,iOS and Android,7603,1,2,Medical,91,4995,8,No,24,Yes,4,2,11
Yes,383,iOS,,1,4,Financial,58,10701,2,No,20,No,4,0,24
No,,iOS and Android,46561,1,4,Financial,58,5944,5,No,25,No,3,1,25
No,189,iOS and Android,33608,28,3,Financial,50,8696,2,No,30,No,4,0,12
No,227,iOS and Android,43443,1,3,Tour  Travel,53,6388,2,Yes,25,No,4,0,14
Yes,242,iOS and Android,36199,1,3,Medical,53,4247,7,No,332,Yes,1,0,18
No,339,iOS and Android,46102,29,3,Medical,91,3507,7,No,19,No,2,0,17
No,286,iOS and Android,12786,1,5,Entertainment,40,4361,4,Yes,30,Yes,2,0,24
No,226,iOS and Android,15365,18,3,Financial,84,2692,1,No,17,No,3,0,6
No,241,iOS,24158,1,2,Medical,50,4715,2,No,20,No,4,3,17
No,227,iOS and Android,7065,1,3,Entertainment,95,3248,6,No,26,No,4,1,17
No,226,iOS and Android,49983,1,1,Medical,45,2764,2,No,24,No,4,0,11
No,309,iOS,30034,10,3,Financial,98,17233,6,No,17,No,2,1,28
No,309,iOS and Android,32704,1,4,Financial,109,2285,2,No,29,Yes,4,1,9
No,144,iOS and Android,41366,1,1,Medical,92,1534,2,No,19,No,4,0,8
No,301,iOS,48869,26,3,Medical,61,5655,3,No,23,No,1,1,27
No,,iOS and Android,23219,1,5,Social media,100,7348,1,No,25,No,1,2,19
No,399,iOS and Android,50296,1,2,Social media,40,2357,3,Yes,29,Yes,4,1,20
No,339,iOS and Android,6824,1,3,Financial,68,2401,8,No,30,No,3,1,24
No,,iOS,33889,1,3,Social media,48,9043,1,No,21,No,4,0,17
No,219,Android,52408,1,1,Entertainment,53,4373,2,No,23,No,1,1,18
No,384,iOS and Android,40962,1,4,Medical,39,6186,2,No,27,No,3,0,15
No,,iOS and Android,40111,1,3,Medical,90,3395,6,Yes,29,Yes,2,1,14
No,301,iOS and Android,22098,1,4,Social media,82,10910,7,No,17,No,1,1,19
No,256,iOS,10638,1,4,Social media,86,2276,6,No,27,No,4,1,7
No,166,iOS and Android,43999,19,1,Medical,93,2376,1,No,459,Yes,1,2,9
No,204,Android,24220,1,3,Medical,71,2076,8,No,25,No,4,1,7
No,211,iOS and Android,15446,21,3,Medical,57,2763,1,No,23,No,3,1,12
No,429,iOS and Android,11729,24,2,Financial,89,9484,3,Yes,25,No,2,1,17
No,,Android,50782,1,3,Medical,92,2610,1,Yes,25,No,4,1,8
No,376,iOS and Android,50862,11,3,Financial,66,19979,4,No,26,No,2,0,31
No,309,iOS and Android,16316,14,3,Financial,63,2499,6,No,22,No,1,1,17
No,226,iOS and Android,46903,1,3,Financial,52,9462,4,No,23,No,3,1,17
No,286,iOS and Android,24614,1,4,Financial,64,8744,5,No,460,Yes,3,0,18
No,242,iOS and Android,4244,1,5,Financial,53,3083,3,No,26,Yes,1,0,11
No,203,iOS and Android,40526,17,3,Entertainment,64,3102,0,Yes,19,No,4,1,15
Yes,144,iOS,21111,1,1,Entertainment,110,2384,2,No,26,Yes,1,0,3
No,271,iOS,,1,2,Medical,36,2131,5,No,24,No,3,0,15
No,226,Android,3915,1,3,Medical,79,3125,2,No,17,No,3,2,15
No,339,iOS and Android,44412,1,2,Financial,37,5060,5,Yes,16,No,1,1,10
No,422,iOS and Android,24993,1,3,Financial,79,4309,5,Yes,27,No,3,1,28
No,250,iOS and Android,4739,1,3,Financial,105,2558,2,No,18,No,1,0,13
Yes,144,iOS and Android,10655,1,3,Financial,55,1158,3,No,453,Yes,3,0,3
No,346,iOS and Android,18458,1,2,Social media,100,10512,2,No,28,Yes,3,3,30
No,286,iOS and Android,48333,1,2,Financial,84,2331,3,No,22,No,3,0,3
No,234,iOS and Android,4930,12,1,Medical,102,3971,10,Yes,300,Yes,3,1,12
No,257,iOS and Android,22046,27,2,Medical,,2363,4,No,23,No,4,0,15
Yes,309,iOS and Android,47502,20,2,Social media,83,3184,3,,26,Yes,4,0,11
No,377,iOS and Android,11515,1,3,Medical,96,3736,3,No,25,No,4,1,10
No,399,iOS and Android,37971,13,2,Medical,71,4507,1,No,15,No,3,2,10
No,249,iOS and Android,32623,14,3,Medical,77,2802,2,No,22,No,4,1,11
No,301,iOS and Android,34657,1,1,Medical,53,19089,2,No,19,No,2,1,21
No,413,iOS and Android,24267,14,4,Medical,67,18776,10,No,20,No,4,0,45
No,257,iOS,37458,1,1,Financial,55,9597,3,No,29,No,3,0,14
No,384,iOS and Android,10991,1,3,Medical,109,13777,3,No,30,No,3,0,28
No,,iOS and Android,24510,1,4,Financial,70,20059,2,No,25,No,1,1,40
No,204,iOS and Android,31325,1,3,Medical,109,2320,1,No,26,No,4,0,17
Yes,,iOS and Android,19495,23,2,Financial,58,5975,4,Yes,17,No,1,0,15
No,324,Android,47077,1,3,Medical,48,2145,6,No,20,No,4,3,12
No,338,Android,41857,1,2,Medical,73,16848,11,No,474,Yes,4,1,29
No,279,iOS and Android,10180,21,3,Financial,73,3607,3,Yes,18,No,1,1,12
No,263,iOS,4860,1,3,Medical,48,4475,6,No,22,No,4,0,17
No,316,Android,32449,21,2,Medical,43,5317,3,No,20,No,2,1,17
No,286,iOS and Android,44173,1,4,Financial,98,6611,9,No,21,No,2,0,18
No,286,iOS and Android,37974,29,3,Entertainment,61,6306,3,No,29,No,1,1,16
No,,iOS,16550,1,1,Entertainment,67,4355,5,No,24,No,3,1,7
No,368,Android,35103,18,4,Financial,104,6846,1,Yes,21,No,1,2,12
No,256,iOS,30766,10,4,Medical,55,3855,2,Yes,25,No,4,1,15
No,,iOS and Android,31706,19,2,Medical,105,2794,8,Yes,24,No,3,1,20
Yes,286,iOS and Android,,29,1,Medical,75,6716,9,Yes,23,No,2,0,22
Yes,219,iOS and Android,4272,27,3,Social media,41,7683,2,No,28,Yes,4,3,13
No,166,iOS and Android,39801,1,3,Financial,71,2388,2,,28,No,1,1,6
No,272,iOS,22260,18,1,Medical,82,2198,3,No,24,No,1,0,18
No,301,Android,40333,1,5,Financial,70,4925,11,No,21,No,4,1,8
No,347,iOS and Android,22572,1,4,Medical,112,9455,7,No,27,No,3,1,18
Yes,242,iOS and Android,36618,1,4,Medical,37,10441,1,No,21,No,3,0,19
No,,Android,29047,1,1,Financial,94,8514,1,No,28,Yes,3,0,16
No,,iOS,,20,3,Financial,101,10027,2,No,17,No,4,0,12
No,383,iOS and Android,51449,1,4,Financial,93,12536,7,No,20,No,4,2,24
Yes,226,iOS and Android,35209,1,3,OTT,102,2711,7,Yes,18,No,3,0,13
No,310,iOS and Android,31398,1,3,Financial,85,13639,4,Yes,28,No,3,0,18
Yes,226,iOS,11733,26,4,Social media,63,6741,7,No,26,No,3,0,15
Yes,219,iOS and Android,34769,1,3,Entertainment,98,2100,0,No,22,No,4,0,14
No,338,Android,36854,1,3,Medical,65,8924,7,No,23,No,4,0,27
No,406,iOS and Android,40177,1,3,Social media,64,5983,2,No,25,No,4,1,22
No,272,iOS and Android,48895,1,2,Financial,68,5956,8,No,27,No,4,0,22
No,250,iOS and Android,5193,1,4,Medical,55,2669,7,No,29,Yes,4,0,7
No,278,iOS,23248,11,3,Other,54,12227,2,Yes,19,No,3,3,14
No,286,iOS and Android,4214,1,3,Financial,89,10649,1,No,24,No,3,2,24
No,,Android,34312,1,4,Medical,102,4404,2,No,24,No,4,1,15
No,444,iOS and Android,5002,1,3,Financial,81,2226,4,No,27,No,1,1,8
No,280,iOS,11202,1,4,Social media,46,2849,4,No,25,No,3,1,20
No,219,iOS,,1,1,Medical,54,7973,2,No,22,No,4,1,16
No,264,iOS,33073,1,3,Social media,103,8842,2,No,20,No,1,0,17
Yes,219,iOS and Android,31398,18,1,Medical,,2431,2,Yes,18,No,3,0,8
No,392,iOS and Android,46352,1,3,Financial,95,3261,9,,20,No,2,0,10
No,317,iOS and Android,18663,1,2,Entertainment,67,19274,2,No,21,No,4,0,25
No,443,iOS and Android,28678,1,2,Medical,65,2312,9,No,21,No,4,0,10
No,377,iOS and Android,29928,1,4,Medical,79,19573,4,No,17,No,3,1,38
Yes,249,iOS and Android,28492,14,3,Medical,65,2478,6,Yes,21,No,3,1,13
No,324,iOS and Android,36239,16,3,Social media,91,16109,6,Yes,29,Yes,3,1,31
Yes,248,iOS and Android,16321,1,2,Financial,48,2765,9,No,28,Yes,1,0,15
No,392,Android,27031,1,4,Financial,88,19110,2,Yes,23,No,4,0,35
No,241,iOS and Android,49073,1,2,Financial,65,3984,3,No,17,No,1,1,14
Yes,241,iOS and Android,18059,1,3,Financial,71,3783,0,Yes,20,No,4,0,8
No,,iOS and Android,50135,1,4,Medical,108,2275,8,No,19,No,3,3,11
No,242,,34195,26,4,Social media,112,4508,0,No,29,No,1,0,7
No,309,iOS and Android,49428,19,2,Financial,45,3130,4,No,28,No,1,2,22
No,301,iOS and Android,45549,24,2,Entertainment,73,3370,1,No,28,No,1,2,14
No,339,iOS and Android,8869,1,3,Other,84,19259,0,No,21,No,3,1,29
No,234,iOS,46483,1,4,Medical,86,13722,10,No,24,No,1,1,16
No,249,iOS and Android,29154,1,4,Financial,72,2965,2,No,18,No,3,1,12
No,256,iOS and Android,16490,1,4,Financial,98,6009,7,No,23,No,2,1,17
No,279,iOS and Android,35631,1,2,Medical,95,3961,3,No,20,No,1,1,23
No,339,iOS,42003,1,4,Financial,89,6477,4,No,28,No,4,1,11
Yes,279,iOS,17682,10,3,Medical,72,10104,7,No,23,No,2,2,23
No,294,iOS,17705,1,4,Entertainment,72,10995,0,No,368,Yes,4,0,24
No,,iOS and Android,23322,15,3,Financial,65,2380,1,No,26,No,1,0,15
No,316,iOS and Android,32100,17,2,Financial,,6600,5,Yes,17,No,3,0,18
No,219,iOS and Android,43679,20,2,Social media,55,6972,3,No,26,No,4,1,17
No,188,iOS and Android,24012,1,3,Financial,68,4941,1,No,22,No,4,2,8
No,316,iOS and Android,9459,1,3,Medical,67,2652,0,Yes,18,No,3,1,14
No,302,iOS and Android,49590,1,2,Medical,56,19478,1,No,27,No,4,1,29
No,384,iOS and Android,,1,3,Financial,104,2767,3,No,14,No,2,0,5
Yes,233,iOS,10782,29,2,Medical,82,3536,2,No,22,No,2,0,13
No,241,iOS,45931,1,3,Financial,109,2844,3,No,352,Yes,3,0,13
No,287,Android,46477,,2,Financial,44,5300,5,No,29,No,4,1,19
No,241,iOS and Android,4511,1,1,Entertainment,89,2218,6,No,22,No,4,0,17
No,346,iOS and Android,17121,1,3,Entertainment,81,16913,4,Yes,18,No,2,1,34
